control_id,canonical_system,original_name,clinical_label,original_report_category,clinical_meaning,why_it_matters,functional_significance,low_interpretation,high_interpretation,pattern_links,recommendation_hint,pattern_cluster
M179,Skin function,Skin Grease Index,Skin Grease Index,(Skin) Analysis Report Card,"Reflects sebum production and lipid balance on the skin surface, indicating sebaceous gland activity and skin barrier lubrication.","Sebum plays a protective role in maintaining skin hydration and antimicrobial defence, but imbalance can lead to dryness or acne-related conditions.","Linked to androgen activity, lipid metabolism, gut-skin axis, and inflammatory signalling.","Suggests reduced sebum production, often associated with dry skin, impaired barrier function, or hormonal insufficiency.","Indicates increased sebum production, potentially linked to hormonal imbalance, inflammation, or acne-prone patterns.",Hormonal imbalance + inflammation + gut dysbiosis -> increased sebum -> acne; low lipids -> dry skin and barrier weakness.,Balance hormonal and lipid pathways while supporting skin barrier integrity.,"Skin, Hormones, Lipids, Gut"
M180,Skin function,Skin Immunity Index,Skin Immunity Index,(Skin) Analysis Report Card,"Reflects immune defence activity at the skin level, indicating the ability of the skin barrier to respond to pathogens, irritation, and environmental stress.","Skin immunity is the first line of defence against infection and environmental insults, and dysfunction can lead to sensitivity, infections, or inflammatory skin conditions.","Linked to gut health, microbiome balance, systemic immunity, and inflammatory regulation.","Suggests reduced skin immune defence, increased susceptibility to infection or irritation.","May indicate heightened immune activation, sensitivity, or inflammatory skin reactivity.","Gut dysbiosis + immune imbalance -> skin inflammation (eczema, acne, psoriasis patterns).",Support gut-skin axis and immune balance.,"Skin, Immune, Gut, Inflammation"
M181,Skin function,Skin Moisture Index,Skin Moisture Index,(Skin) Analysis Report Card,Reflects hydration retention and barrier moisture quality within skin tissue.,"Adequate skin moisture is important for barrier defence, comfort, wound healing, and resistance to irritation.","Linked to essential fatty acids, vitamin A status, collagen integrity, mineral balance, thyroid function, and inflammatory-barrier stress.","Suggests weakened barrier function, dehydration, low essential-fatty-acid support, thyroid-related slowing, or reduced skin matrix resilience.",May indicate preserved hydration or transient fluid retention requiring broader skin context.,"Low essential fatty acids, low vitamin A, and reduced collagen support can weaken moisture retention; thyroid and inflammatory patterns may further impair barrier quality.","Support barrier hydration, matrix integrity, and fat-soluble nutrient status to improve skin resilience.","Skin, Connective Tissue, Barrier Function, Essential Fatty Acids"
M182,Skin function,Skin Moisture Loss,Skin Moisture Loss,(Skin) Analysis Report Card,"Reflects transepidermal water loss (TEWL), indicating the integrity of the skin barrier and its ability to retain moisture.","Excessive moisture loss compromises barrier function, increases sensitivity, and accelerates ageing and inflammation.","Linked to lipid barrier integrity, ceramide levels, hydration status, and environmental exposure.",Suggests good barrier integrity and adequate moisture retention.,"Indicates impaired barrier function, dehydration, or increased environmental stress on the skin.","Low lipids + dehydration + oxidative stress -> increased TEWL -> dry, sensitive skin.",Restore barrier lipids and hydration to improve skin resilience.,"Skin, Hydration, Barrier Function, Lipids"
M183,Skin function,Skin Red Blood Trace Index,Skin Red Blood Trace Index,(Skin) Analysis Report Card,"Reflects microcirculation and capillary activity within skin tissue, indicating blood supply and oxygen delivery to the dermis.","Adequate circulation supports nutrient delivery, repair, and healthy skin tone, while imbalance may indicate inflammation or vascular issues.","Linked to vascular health, oxygenation, inflammation, and autonomic tone.","Suggests reduced microcirculation, poor nutrient delivery, or dull skin tone.","May indicate increased vascular activity, inflammation, or sensitivity (e.g. redness, rosacea patterns).",Poor circulation -> dull skin; inflammation -> redness; vascular instability -> sensitivity.,Support circulation and reduce inflammatory triggers.,"Skin, Circulation, Inflammation, Oxygenation"
M184,Skin function,Skin Elasticity Index,Skin Elasticity Index,(Skin) Analysis Report Card,"Reflects the recoil capacity and structural flexibility of skin tissue, indicating the condition of collagen-elastin architecture and hydration-related matrix support.","Skin elasticity is a visible marker of connective tissue quality, ageing pace, oxidative stress burden, and extracellular matrix resilience.","Depends on collagen turnover, elastin preservation, vitamin C status, copper support, hydration, hormone balance, and oxidative protection.","Suggests reduced connective tissue resilience, accelerated matrix ageing, oxidative degradation, or weaker structural support within the dermis.","May indicate preserved dermal elasticity and stronger matrix support, though interpretation should align with hydration and inflammatory context.","Oxidative stress, glycation, low collagen support, and hormone decline can reduce skin elasticity; poor hydration and inflammation worsen the pattern.","Protect dermal matrix proteins and support collagen-elastin turnover through antioxidant, nutritional, and hormone-aware support.","Skin, Connective Tissue, Ageing, Antioxidants"
M185,Skin function,Skin Melanin Index,Skin Melanin Index,(Skin) Analysis Report Card,"Reflects skin pigment expression and melanin-related tone, with relevance to oxidative exposure, inflammatory change, and hormonal influence on skin tissue.","Altered melanin patterns can provide clues about inflammatory repair demand, endocrine shifts, UV burden, and local tissue reactivity within the skin barrier.","Interacts with oxidative stress, hormone patterns, liver function, inflammatory signalling, and skin barrier integrity.",May indicate reduced pigment activity or context-dependent variation that should be interpreted with overall skin and endocrine context.,"Suggests increased pigment signalling, often associated with oxidative exposure, irritation, hormonal shifts, or post-inflammatory change.","Hormonal imbalance, liver burden, or inflammatory skin stress can alter melanin patterns; oxidative exposure may further amplify pigment signalling.","Interpret pigment changes within broader skin, hormone, and inflammatory patterns rather than as an isolated cosmetic finding.","Skin, Hormones, Liver, Inflammation"
M186,Skin function,Skin Horniness Index,Skin Keratinisation & Thickening,(Skin) Analysis Report Card,Reflects the degree of keratin build-up and surface thickening within the skin barrier.,"Keratinisation status helps indicate whether the skin barrier is balanced, dry, overly thickened, or under inflammatory or nutritional stress.","Linked to epidermal turnover, barrier integrity, hydration status, essential fatty acids, vitamin A status, and chronic irritation.","Suggests reduced keratin build-up or a thinner, potentially more fragile barrier with lower protective thickness.","Indicates increased surface thickening, roughness, or hyperkeratinisation, often associated with dryness, irritation, friction, or altered turnover.","Barrier stress + low hydration + essential fatty acid insufficiency -> roughened, thickened skin surface and impaired texture quality.",Interpret with other skin barrier and hydration markers to distinguish healthy protection from excessive thickening.,"Skin Barrier, Keratinisation, Hydration, Epidermal Turnover"
M187,Eye system,Bags under the eyes,Bags under the eyes,(Eye) Analysis Report Card,"Reflects periorbital fluid retention and tissue congestion, often indicating lymphatic stagnation, altered renal-fluid handling, or poor overnight recovery.","Periorbital puffiness can signal systemic fluid-regulation stress, impaired lymphatic clearance, sleep disruption, or local microcirculatory sluggishness.","Linked to kidney-fluid balance, lymphatic drainage, sodium-water handling, sleep quality, and local vascular permeability.","Suggests efficient overnight clearance, stable fluid distribution, and adequate lymphatic-microcirculatory regulation.","Indicates fluid stagnation, poor lymphatic drainage, altered renal-adrenal fluid regulation, or insufficient nocturnal recovery.",Poor sleep + lymphatic congestion + kidney-fluid imbalance -> visible periorbital puffiness; inflammatory salt-water retention may intensify the pattern.,"Support lymphatic clearance, sleep depth, and fluid-regulation pathways while reducing factors that worsen overnight congestion.","Eye, Lymphatic, Kidney, Sleep"
M188,Eye system,Collagen eye wrinkle,Collagen eye wrinkle,(Eye) Analysis Report Card,"Reflects collagen degradation and reduced extracellular-matrix integrity in the periorbital region, where connective tissue is thin and highly sensitive to oxidative and hormonal stress.","Periorbital wrinkling is a visible marker of collagen turnover quality, hydration status, oxidative burden, and ageing-related connective-tissue decline.","Depends on vitamin C status, amino-acid availability, collagen synthesis, antioxidant defence, hormone balance, and local hydration.",Suggests relatively preserved matrix integrity and slower collagen breakdown in the periorbital tissues.,"Indicates accelerated connective-tissue ageing, reduced collagen resilience, oxidative damage, or impaired structural repair.",Low vitamin C + oxidative stress + reduced collagen support -> greater periorbital wrinkling; hormonal decline and dehydration can deepen the pattern.,"Support collagen synthesis, antioxidant defence, and periorbital matrix hydration while reducing drivers of accelerated tissue ageing.","Eye, Connective Tissue, Ageing, Antioxidants"
M189,Eye system,Dark circles,Dark circles,(Eye) Analysis Report Card,"Reflects microcirculatory and pigmentation changes in the periorbital region, often linked to vascular congestion or fatigue.","Dark circles can indicate poor sleep, circulatory stagnation, or systemic fatigue affecting tissue oxygenation.","Linked to microcirculation, lymphatic drainage, sleep quality, and stress.",Suggests reduced circulatory efficiency or fatigue-related tissue changes.,Indicates increased vascular congestion or pigmentation changes.,Sleep disruption + stress -> periorbital stagnation.,Assess alongside sleep and circulation markers.,"Eye, Circulation, Fatigue"
M190,Eye system,Lymphatic obstruction,Lymphatic obstruction,(Eye) Analysis Report Card,Represents impaired lymphatic drainage affecting fluid balance and tissue detoxification.,Lymphatic flow is essential for removing waste and maintaining tissue fluid balance.,"Linked to immune function, inflammation, and interstitial fluid dynamics.",Suggests reduced lymphatic congestion.,Indicates lymphatic blockage or impaired drainage.,Inflammation + stagnation -> lymphatic obstruction.,Support lymphatic flow and circulation.,"Lymphatic, Detox, Fluid Balance"
M191,Eye system,Sagging,Sagging,(Eye) Analysis Report Card,Reflects loss of tissue elasticity and structural support in skin and connective tissue.,"Sagging indicates reduced collagen integrity, ageing processes, or nutritional deficiency.","Linked to collagen synthesis, hormonal balance, and oxidative stress.",Suggests preserved structural integrity.,Indicates reduced elasticity and structural support.,Ageing + oxidative stress -> tissue laxity.,Support collagen and antioxidant systems.,"Skin, Ageing, Structure"
M192,Eye system,Edema,Edema,(Eye) Analysis Report Card,Represents fluid accumulation in tissues due to imbalance in vascular and lymphatic dynamics.,Edema indicates impaired fluid regulation and possible inflammation or circulatory issues.,"Linked to kidney function, vascular permeability, and lymphatic drainage.",Suggests normal fluid balance.,Indicates fluid retention or impaired drainage.,Inflammation + poor circulation -> fluid accumulation.,Assess renal and vascular factors.,"Fluid Balance, Lymphatic, Circulation"
M193,Eye system,Eye cell activity,Eye cell activity,(Eye) Analysis Report Card,Reflects metabolic and functional activity of ocular cells involved in vision.,Cellular activity determines visual acuity and eye health.,"Linked to mitochondrial function, circulation, and nutrient supply.",Suggests reduced cellular activity and visual fatigue.,Indicates increased activity or stress response.,Oxidative stress -> reduced eye cell function.,Support ocular nutrition and circulation.,"Eye, Cellular Function"
M194,Eye system,Visual fatigue,Visual fatigue,(Eye) Analysis Report Card,Represents strain on visual processing systems due to overuse or metabolic fatigue.,"Visual fatigue affects focus, clarity, and cognitive performance.","Linked to screen exposure, neural processing, and ocular metabolism.",Suggests reduced fatigue.,Indicates excessive strain and overuse.,Screen time + stress -> visual fatigue.,Support visual breaks and recovery.,"Eye, Fatigue, Neurological"
M195,Eye system,Eye,Overall Eye Function,(Eye) Analysis Report Card,"Represents the overall functional status of the visual system, integrating ocular tissue vitality, circulation, and visual performance.","The eye reflects neurovascular, metabolic, and oxidative balance, and can show strain when circulation, energy supply, or tissue support is suboptimal.","Linked to retinal metabolism, optic signalling, ocular microcirculation, oxidative stress, screen strain, and broader nervous-system load.",Suggests relatively stable ocular function and lower evidence of current visual-system strain.,"Indicates functional stress within the visual system, potentially involving fatigue, circulation, oxidative burden, or broader neurovisual load.",Visual strain + poor sleep + oxidative stress + microcirculatory weakness -> reduced visual efficiency and greater ocular fatigue.,"Assess alongside visual fatigue, eye cell activity, circulation, and nervous-system markers for fuller context.","Eye, Vision, Neurovascular, Oxidative Stress"
M196,Collagen system,Tooth,Endocrine system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the tooth, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in tooth leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M197,Collagen system,Hair and skin,Hair and skin,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the hair and skin, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in hair and skin leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M198,Collagen system,Endocrine system,Endocrine system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the endocrine system, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in endocrine system leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M199,Collagen system,Circulatory system,Circulatory system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the circulatory system, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in circulatory system leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M200,Collagen system,Digestive system,Digestive system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the digestive system, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in digestive system leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M201,Collagen system,Immune system,Immune system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the immune system, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in immune system leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M202,Collagen system,Motion systems,Motion systems,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the motion systems, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in motion systems leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M203,Collagen system,Muscle Tissue,Muscle Tissue,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the muscle tissue, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in muscle tissue leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M204,Collagen system,Fat Metabolism,Fat Metabolism,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the fat metabolism, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in fat metabolism leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M205,Collagen system,Detoxification and metabolism,Detoxification and metabolism,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the detoxification and metabolism, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in detoxification and metabolism leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M206,Collagen system,Reproductive system,Reproductive system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the reproductive system, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in reproductive system leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M207,Collagen system,Nervous system,Nervous system,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the nervous system, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in nervous system leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M208,Collagen system,Skeleton,Skeleton,(Collagen) Analysis Report Card,"Reflects integrity of collagen matrix within the skeleton, influencing structural stability and functional resilience.",Collagen is the primary structural protein underpinning tissue integrity and repair across the body.,"Linked to vitamin C, glycine, proline, copper, oxidative stress, and glycation damage.","Suggests weakened connective tissue, poor repair, or structural fragility.",Indicates increased turnover or preserved structural resilience depending on context.,Oxidative stress + glycation -> collagen breakdown in skeleton leading to dysfunction.,"Support collagen synthesis, reduce oxidative stress, and improve nutrient status.","Collagen, Connective Tissue, Systemic"
M209,Channels and collaterals,Hand Tai Yin Lung Meridian,Hand Tai Yin Lung Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Lung meridian within the channels and collaterals model, associated with respiratory vitality, boundary regulation, grief-stress patterns, and surface defensive function.","In an East Asian functional framework, the Lung channel is linked to respiration, skin and boundary integrity, immune-defensive responsiveness, and the body's capacity to distribute protective energy to the exterior.","Bridges respiratory function, skin barrier resilience, grief-related autonomic patterns, mucosal immunity, and circulation of protective regulatory tone through the upper body.","Suggests weakened respiratory-boundary function, lower surface resilience, reduced defensive responsiveness, or depletion associated with chronic stress, grief, or recurrent respiratory strain.","May indicate channel congestion, reactive respiratory-boundary stress, or heightened surface reactivity associated with inflammation, allergy, or upper-body tension patterns.","Respiratory weakness plus skin-barrier and allergy tendencies often cluster with Lung-channel imbalance; unresolved grief, shallow breathing, and recurrent mucosal irritation may sustain the pattern.","Support respiratory resilience, skin-barrier integrity, and autonomic calming where Lung-channel patterns suggest depleted or congested surface regulation.","Channels, Respiratory, Skin, Immune, Stress"
M210,Channels and collaterals,Hand Yangming Large Intestine Meridian,Hand Yangming Large Intestine Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Large Intestine meridian, associated with elimination, release, mucosal boundary handling, and paired regulation with the Lung channel.","This channel is linked to bowel clearance, the ability to let go of waste burden, and the relationship between mucosal detoxification and external defensive health.","Connects bowel transit, mucosal inflammation, skin expression, paired Lung-Large Intestine dynamics, and detoxification load through the elimination pathway.","Suggests sluggish elimination, reduced release capacity, impaired bowel-boundary resilience, or depletion associated with constipation and toxic recirculation patterns.","May indicate channel irritability, inflammatory bowel-boundary stress, or congestive patterns linked to heat, dryness, or reactivity in elimination pathways.","Constipation, skin reactivity, and respiratory-allergy patterns often coexist with Large Intestine meridian imbalance; poor clearance increases toxic and inflammatory recirculation.","Improve bowel release, reduce inflammatory recirculation, and support the paired respiratory-elimination axis where channel strain is evident.","Channels, Digestive, Detox, Skin, Respiratory"
M211,Channels and collaterals,Foot Yangming Stomach Meridian,Foot Yangming Stomach Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Stomach meridian, associated with digestive receiving, nourishment processing, appetite regulation, and tissue support derived from food transformation.","Within this framework, the Stomach channel governs how nourishment is received and processed, influencing energy, muscle tissue, and the body's tolerance to dietary load.","Links appetite, gastric function, damp-heat or irritation patterns, upper digestive congestion, and the body's capacity to derive stable nourishment from intake.","Suggests weakened digestive receiving, poor appetite regulation, gastric depletion, or reduced capacity to transform nourishment into usable support.","May indicate gastric congestion, heat, stagnation, reflux-irritation patterns, or excessive channel reactivity related to dietary overload or inflammation.","Reflux, bloating, appetite disturbance, and facial or oral inflammatory signs often cluster with Stomach meridian stress; chronic irritation can impair nutrient assimilation and energy quality.",Calm upper-digestive irritation and strengthen nourishment processing where Stomach meridian patterns show depletion or congestion.,"Channels, Digestive, Upper GI, Energy, Inflammation"
M212,Channels and collaterals,Foot Tai Yin Lung Meridian,Foot Tai Yin Lung Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Spleen meridian in practical TCM usage despite the source label discrepancy, associated with transformation of food and fluid, tissue nourishment, and dampness handling.","This channel is central to digestive assimilation, fluid distribution, muscle tone, and the prevention of stagnating damp patterns that undermine energy and tissue resilience.","Links digestion, fluid metabolism, oedema tendency, fatigue after eating, bruising or tissue weakness, and the generation of usable post-digestive energy.","Suggests weak transformation of food and fluids, damp accumulation, low tissue nourishment, or fatigue linked to poor digestive assimilation.","May indicate channel congestion, damp-heat burden, digestive stagnation, or inflammatory fluid-retention patterns requiring broader digestive-metabolic interpretation.","Bloating, loose stools, oedema, fatigue, and sugar craving often cluster with Spleen-type channel weakness; poor transformation can also worsen damp skin and hormonal patterns.",Strengthen digestive transformation and fluid handling while reducing damp-generating dietary and inflammatory stressors.,"Channels, Digestive, Fluid Balance, Energy, Dampness"
M213,Channels and collaterals,Hand Shao Yin Heart Sutra,Hand Shao Yin Heart Sutra,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Heart channel, associated with circulation, emotional coherence, sleep quality, and the stability of mental-spiritual regulation in traditional pattern terms.","The Heart channel is linked to blood movement, calmness of mind, restful sleep, and the coherence of emotional and cognitive function under stress.","Bridges cardiac rhythm, sleep disruption, anxiety-agitation patterns, microcirculatory tone, and the interface between emotional load and physical regulation.","Suggests depletion of heart-blood or calming capacity, poor sleep quality, emotional fragility, or reduced circulatory vitality in this regulatory axis.","May indicate channel agitation, heat, palpitatory stress, restlessness, or heightened emotional-cardiac activation.","Sleep disruption, palpitations, anxiety, and mental restlessness often cluster with Heart-channel imbalance; inflammation and stress overdrive may deepen the pattern.","Support calm circulation, sleep depth, and emotional regulation where Heart-channel agitation or depletion is prominent.","Channels, Cardiovascular, Sleep, Mood, Stress"
M214,Channels and collaterals,Hand the small intestine by the sun,Hand the small intestine by the sun,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Small Intestine channel, associated with separation of clear from turbid, discernment, and downstream handling of digestive and inflammatory burden.","This channel is traditionally linked to sorting and separating function, both physically in digestion and metaphorically in clarity, making it relevant to absorption quality and inflammatory spillover.","Connects small-bowel assimilation, discernment of usable nutrients versus waste, inflammatory gut burden, and paired Heart-Small Intestine regulation.","Suggests reduced sorting and absorption efficiency, intestinal depletion, poor clarity in digestive processing, or lower resilience to inflammatory gut stress.","May indicate intestinal irritability, inflammatory burden, or congestive patterns affecting nutrient-waste separation and paired upper-body stress responses.","Malabsorption, bloating, inflammatory gut patterns, and cognitive irritability may cluster with Small Intestine channel imbalance; this can also affect the Heart-paired axis of calm versus agitation.",Support small-intestinal clarity and reduce inflammatory burden where channel patterns suggest poor separation or irritative congestion.,"Channels, Digestive, Absorption, Inflammation, Mood"
M215,Channels and collaterals,Foot Tai Yang Bladder Meridian,Foot Tai Yang Bladder Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Bladder meridian, associated with fluid regulation, posterior chain tension, nervous-system vigilance, and stress storage along the back body.","The Bladder channel is often linked to urinary function, autonomic vigilance, musculoskeletal tension, and the body's tendency to hold stress through the back and sympathetic system.","Connects urinary balance, back tension, fear-stress patterns, sleep disruption, and paired Kidney-Bladder regulation in fluid and autonomic control.","Suggests depleted fluid-regulatory resilience, lower stress tolerance, posterior-chain weakness, or reduced channel vitality in elimination and autonomic support.","May indicate channel tension, urinary irritation, autonomic overdrive, or stored stress patterns manifesting through the back body and fluid pathways.","Back tension, urinary irritation, poor stress recovery, and sleep disruption often coexist with Bladder-channel imbalance; sympathetic dominance can maintain the pattern.",Reduce posterior-chain and autonomic tension while supporting fluid regulation and stress recovery where Bladder-channel strain is evident.,"Channels, Urinary, Nervous System, Musculoskeletal, Stress"
M216,Channels and collaterals,Foot Shao Yin Kidney,Foot Shao Yin Kidney,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Kidney channel, associated with foundational reserves, endocrine-adrenal resilience, reproductive vitality, bone support, and fear-stress regulation in traditional pattern terms.","The Kidney channel is considered central to constitutional reserve, growth and repair, fertility, stress endurance, and the deeper energetic support of brain, bones, and hormones.","Links adrenal-endocrine resilience, bone density, reproductive function, fluid metabolism, fatigue patterns, and the ability to recover from chronic depletion.","Suggests depleted reserve, fatigue, weaker stress adaptation, lower reproductive vitality, or reduced support for bone and endocrine resilience.","May indicate channel strain, deficiency-heat style agitation, or reactive stress patterns affecting deeper regulatory reserves.","Chronic stress, poor sleep, hormonal decline, fertility issues, and bone weakness often cluster with Kidney-channel depletion; adrenal burden may further destabilise the pattern.","Rebuild foundational reserve, recovery capacity, and endocrine-bone resilience where Kidney-channel depletion or strain is prominent.","Channels, Adrenal, Hormones, Bone, Energy"
M217,Channels and collaterals,Hand Jue Yin Pericardium Meridian,Hand Jue Yin Pericardium Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Pericardium channel, associated with emotional buffering, chest tension, circulation, and protection against stress-induced internal agitation.","This channel is traditionally linked to protecting the Heart from emotional overload, making it relevant to chest tightness, anxiety, circulation, and relational stress patterns.","Connects mood regulation, chest pressure, circulation, sleep, and the buffering of emotional stress within the cardiovascular-nervous interface.","Suggests reduced emotional buffering, lower circulatory ease, chest depletion, or weaker resilience to relational or stress-related overload.","May indicate chest tension, emotional congestion, stress agitation, or circulatory reactivity linked to sympathetic activation.","Stress, chest tightness, palpitatory sensations, and emotional overload often cluster with Pericardium-channel imbalance; sleep and mood may deteriorate alongside the pattern.",Calm chest-autonomic stress and strengthen emotional buffering where Pericardium-channel reactivity or depletion is evident.,"Channels, Cardiovascular, Mood, Stress, Sleep"
M218,Channels and collaterals,Hand Shao Yang Triple Burner Meridian,Hand Shao Yang Triple Burner Meridian,(Channels and collaterals) Analysis Report Card,"Reflects the functional state of the Triple Burner channel, associated with coordination across upper, middle, and lower body regulatory compartments, especially fluid movement and stress adaptation.","This channel represents systemic communication and distribution, making it relevant to fluid movement, endocrine stress signalling, and the integration of multiple body regions.","Bridges adrenal-stress patterns, temperature regulation, fluid circulation, lymphatic movement, and whole-body coordination across compartments.","Suggests poor coordination of systemic regulation, sluggish fluid communication, lower adaptive responsiveness, or depleted integrative signalling across body regions.","May indicate dysregulated stress signalling, compartmental congestion, heat-irritation patterns, or overstimulated body-wide regulatory communication.","Fluid retention, endocrine stress, temperature instability, and lymphatic congestion may cluster with Triple Burner imbalance; poor cross-system coordination can sustain chronic complexity.","Improve whole-body regulatory coordination, fluid movement, and stress adaptation where Triple Burner patterns indicate congestion or depletion.","Channels, Endocrine, Fluid Balance, Lymphatic, Stress"
